Model,Accuracy
Decision Tree,0.9322033898305084
Random Forest,0.9322033898305084
SVM,0.6610169491525424
KNN,0.6440677966101694
Logistic Regression,0.7796610169491526
Naive Bayes,0.2711864406779661
