Model,Accuracy
Decision Tree,0.9945786101527846
Random Forest,0.9655002464268112
SVM,0.9083292262198127
KNN,0.8467225234105471
Logistic Regression,0.9226219812715624
Naive Bayes,0.14243469689502217
