Model,Accuracy
Decision Tree,0.9230769230769231
Random Forest,0.9230769230769231
SVM,0.8461538461538461
KNN,0.7692307692307693
Logistic Regression,0.8461538461538461
Naive Bayes,0.7692307692307693
