Model,Accuracy
Decision Tree,0.8888888888888888
Random Forest,0.8888888888888888
SVM,0.6666666666666666
KNN,0.5925925925925926
Logistic Regression,0.7407407407407407
Naive Bayes,0.6296296296296297
