Model,Accuracy
Decision Tree,0.9913294797687862
Random Forest,0.9624277456647399
SVM,0.9219653179190751
KNN,0.9075144508670521
Logistic Regression,0.9190751445086706
Naive Bayes,0.12427745664739884
